Trade number,Type,Date and time,Signal,Price,Size (qty),Size (value),Net PnL NONE,Net PnL %,Favorable excursion NONE,Favorable excursion %,Adverse excursion NONE,Adverse excursion %,Cumulative PnL NONE,Cumulative PnL %
54,Exit long,11/6/2013 15:15,Bear flip exit,11284.4,31,345972.4,3635.26,1.05,17746.01,5.13,-1067.89,-0.31,257403.19,257.4
54,Entry long,10/29/2013 13:15,Long,11160.4,31,345972.4,3635.26,1.05,17746.01,5.13,-1067.89,-0.31,257403.19,257.4
55,Exit long,12/19/2013 10:15,Bear flip exit,11157.85,31,355955.95,-10273.16,-2.89,338.06,0.09,-10612.69,-2.98,247130.03,247.13
55,Entry long,12/18/2013 11:15,Long,11482.45,31,355955.95,-10273.16,-2.89,338.06,0.09,-10612.69,-2.98,247130.03,247.13
56,Exit long,1/2/2014 14:15,Bear flip exit,11293.45,30,344478,-5879.48,-1.71,2785.66,0.81,-7439.84,-2.16,241250.55,241.25
56,Entry long,12/27/2013 12:15,Long,11482.6,30,344478,-5879.48,-1.71,2785.66,0.81,-7439.84,-2.16,241250.55,241.25
57,Exit long,2/13/2014 15:15,Bear flip exit,10144.95,33,339782.85,-5201.87,-1.53,3155.17,0.93,-6327.38,-1.86,236048.67,236.05
57,Entry long,2/6/2014 10:15,Long,10296.45,33,339782.85,-5201.87,-1.53,3155.17,0.93,-6327.38,-1.86,236048.67,236.05
58,Exit long,3/14/2014 11:15,Bear flip exit,11908.25,31,329709.8,39236.29,11.9,51760.99,15.69,-948.31,-0.29,275284.97,275.28
58,Entry long,2/24/2014 12:15,Long,10635.8,31,329709.8,39236.29,11.9,51760.99,15.69,-948.31,-0.29,275284.97,275.28
59,Exit long,4/1/2014 13:15,Bear flip exit,12528.5,30,366687,8945.24,2.44,19283.49,5.26,-7098.51,-1.94,284230.22,284.23
59,Entry long,3/18/2014 11:15,Long,12222.9,30,366687,8945.24,2.44,19283.49,5.26,-7098.51,-1.94,284230.22,284.23
60,Exit long,4/15/2014 10:15,Bear flip exit,12666.2,29,371532.05,-4433.91,-1.19,6968.89,1.88,-6852.51,-1.84,279796.3,279.8
60,Entry long,4/9/2014 14:15,Long,12811.45,29,371532.05,-4433.91,-1.19,6968.89,1.88,-6852.51,-1.84,279796.3,279.8
61,Exit long,4/30/2014 9:15,Bear flip exit,12944.15,29,373216.95,1938.82,0.52,11460.49,3.07,-1002.27,-0.27,281735.12,281.74
61,Entry long,4/21/2014 11:15,Long,12869.55,29,373216.95,1938.82,0.52,11460.49,3.07,-1002.27,-0.27,281735.12,281.74
62,Exit long,5/27/2014 10:15,Bear flip exit,15017,29,381379,53868.94,14.12,75026.04,19.67,-117.31,-0.03,335604.06,335.6
62,Entry long,5/9/2014 10:15,Long,13151,29,381379,53868.94,14.12,75026.04,19.67,-117.31,-0.03,335604.06,335.6
63,Exit long,6/13/2014 13:15,Bear flip exit,15248.4,28,426262.2,437.03,0.1,13932.32,3.27,-2241.88,-0.53,336041.1,336.04
63,Entry long,6/2/2014 12:15,Long,15223.65,28,426262.2,437.03,0.1,13932.32,3.27,-2241.88,-0.53,336041.1,336.04
64,Exit long,6/23/2014 10:15,Bear flip exit,14984,28,430455.2,-11158.2,-2.59,2339.06,0.54,-11628.74,-2.7,324882.9,324.88
64,Entry long,6/17/2014 15:15,Long,15373.4,28,430455.2,-11158.2,-2.59,2339.06,0.54,-11628.74,-2.7,324882.9,324.88
65,Exit long,7/8/2014 13:15,Bear flip exit,15296.05,27,413050.05,-304.51,-0.07,7831.64,1.9,-2502.61,-0.61,324578.38,324.58
65,Entry long,6/30/2014 12:15,Long,15298.15,27,413050.05,-304.51,-0.07,7831.64,1.9,-2502.61,-0.61,324578.38,324.58
66,Exit long,8/1/2014 10:15,Bear flip exit,15175.6,27,417903.3,-8410.39,-2.01,329.58,0.08,-9972.27,-2.39,316168,316.17
66,Entry long,7/31/2014 11:15,Long,15477.9,27,417903.3,-8410.39,-2.01,329.58,0.08,-9972.27,-2.39,316168,316.17
67,Exit long,9/16/2014 13:15,Bear flip exit,15985.2,26,413907,1459.34,0.35,10021.03,2.42,-845.67,-0.2,317627.34,317.63
67,Entry long,9/1/2014 10:15,Long,15919.5,26,413907,1459.34,0.35,10021.03,2.42,-845.67,-0.2,317627.34,317.63
68,Exit long,9/23/2014 15:15,Bear flip exit,15909,25,403198.75,-5714.03,-1.42,3489.04,0.87,-5903.46,-1.46,311913.3,311.91
68,Entry long,9/18/2014 13:15,Long,16127.95,25,403198.75,-5714.03,-1.42,3489.04,0.87,-5903.46,-1.46,311913.3,311.91
69,Exit long,10/13/2014 10:15,Bear flip exit,15383,26,404743.3,-5026.71,-1.24,5822.18,1.44,-7021.82,-1.73,306886.6,306.89
69,Entry long,10/9/2014 10:15,Long,15567.05,26,404743.3,-5026.71,-1.24,5822.18,1.44,-7021.82,-1.73,306886.6,306.89
70,Exit long,11/25/2014 12:15,Bear flip exit,18021.3,25,394450,55829,14.15,63259.16,16.03,-7642.08,-1.94,362715.6,362.72
70,Entry long,10/14/2014 10:15,Long,15778,25,394450,55829,14.15,63259.16,16.03,-7642.08,-1.94,362715.6,362.72
71,Exit long,12/9/2014 9:15,Bear flip exit,18495.45,24,444114,-489.6,-0.11,8763.57,1.97,-5023.23,-1.13,362226,362.23
71,Entry long,11/28/2014 10:15,Long,18504.75,24,444114,-489.6,-0.11,8763.57,1.97,-5023.23,-1.13,362226,362.23
72,Exit long,1/14/2015 13:15,Bear flip exit,18553.75,24,453313.2,-8292.78,-1.83,646.41,0.14,-9019.59,-1.99,353933.22,353.93
72,Entry long,1/13/2015 10:15,Long,18888.05,24,453313.2,-8292.78,-1.83,646.41,0.14,-9019.59,-1.99,353933.22,353.93
73,Exit long,1/30/2015 12:15,Bear flip exit,20011.3,23,438953.85,21036.29,4.79,41788.11,9.52,-496.24,-0.11,374969.5,374.97
73,Entry long,1/15/2015 10:15,Long,19084.95,23,438953.85,21036.29,4.79,41788.11,9.52,-496.24,-0.11,374969.5,374.97
74,Exit long,5/6/2015 10:15,Bear flip exit,18094,26,474762.6,-4602.16,-0.97,8338.77,1.76,-7081.83,-1.49,370367.34,370.37
74,Entry long,4/28/2015 15:15,Long,18260.1,26,474762.6,-4602.16,-0.97,8338.77,1.76,-7081.83,-1.49,370367.34,370.37
75,Exit long,6/2/2015 11:15,Bear flip exit,18417.7,25,463762.5,-3597.26,-0.78,6910.87,1.49,-5325.38,-1.15,366770.06,366.77
75,Entry long,5/28/2015 10:15,Long,18550.5,25,463762.5,-3597.26,-0.78,6910.87,1.49,-5325.38,-1.15,366770.06,366.77
76,Exit long,7/8/2015 12:15,Bear flip exit,18448.3,25,461911.25,-980.69,-0.21,12466.43,2.7,-1978.57,-0.43,365789.4,365.79
76,Entry long,7/1/2015 13:15,Long,18476.45,25,461911.25,-980.69,-0.21,12466.43,2.7,-1978.57,-0.43,365789.4,365.79
77,Exit long,7/20/2015 12:15,Bear flip exit,18887.5,24,453307.2,-279.18,-0.06,8054.01,1.78,-3817.59,-0.84,365510.22,365.51
77,Entry long,7/13/2015 14:15,Long,18887.8,24,453307.2,-279.18,-0.06,8054.01,1.78,-3817.59,-0.84,365510.22,365.51
78,Exit long,8/11/2015 13:15,Bear flip exit,18699.2,24,446883.6,1628.5,0.36,11471.14,2.57,-452.07,-0.1,367138.72,367.14
78,Entry long,7/31/2015 11:15,Long,18620.15,24,446883.6,1628.5,0.36,11471.14,2.57,-452.07,-0.1,367138.72,367.14
79,Exit long,10/21/2015 13:15,Bear flip exit,17638.05,26,456354.6,1960.22,0.43,10335.89,2.26,-4060.31,-0.89,369098.94,369.1
79,Entry long,10/5/2015 11:15,Long,17552.1,26,456354.6,1960.22,0.43,10335.89,2.26,-4060.31,-0.89,369098.94,369.1
80,Exit long,4/5/2016 13:15,Bear flip exit,15854.65,29,464352.35,-4844.74,-1.04,7708.09,1.66,-5724.71,-1.23,364254.2,364.25
80,Entry long,3/30/2016 13:15,Long,16012.15,29,464352.35,-4844.74,-1.04,7708.09,1.66,-5724.71,-1.23,364254.2,364.25
81,Exit long,5/20/2016 15:15,Bear flip exit,16480.8,27,455292.9,-10581.38,-2.32,960.96,0.21,-11133.69,-2.44,353672.8,353.67
81,Entry long,5/17/2016 12:15,Long,16862.7,27,455292.9,-10581.38,-2.32,960.96,0.21,-11133.69,-2.44,353672.8,353.67
82,Exit long,6/13/2016 10:15,Bear flip exit,17591.05,27,453463.65,21216.17,4.68,33790.81,7.45,-682.79,-0.15,374888.97,374.89
82,Entry long,5/25/2016 10:15,Long,16794.95,27,453463.65,21216.17,4.68,33790.81,7.45,-682.79,-0.15,374888.97,374.89
83,Exit long,6/16/2016 12:15,Bear flip exit,17546.35,26,465569,-9640.43,-2.07,336.13,0.07,-9503.57,-2.04,365248.53,365.25
83,Entry long,6/15/2016 15:15,Long,17906.5,26,465569,-9640.43,-2.07,336.13,0.07,-9503.57,-2.04,365248.53,365.25
84,Exit long,6/24/2016 10:15,Bear flip exit,17090.1,26,464951.5,-20881.69,-4.49,424.71,0.09,-22765.99,-4.89,344366.84,344.37
84,Entry long,6/23/2016 15:15,Long,17882.75,26,464951.5,-20881.69,-4.49,424.71,0.09,-22765.99,-4.89,344366.84,344.37
85,Exit long,7/21/2016 13:15,Bear flip exit,18783.25,24,429182.4,21351.61,4.97,30480.85,7.1,-1686.35,-0.39,365718.47,365.72
